name,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.9874006810442679,0.990744549568079,0.9864837190251894,0.9886095433555669,0.9990128309808834
XGBoost,0.9875141884222475,0.9879370271928031,0.9895556010649191,0.9887456517290771,0.9987965398212233
Logistic Regression,0.9674233825198638,0.9687882496940025,0.9725578537784149,0.970669391926418,0.9927734763780589
SVM,0.9617480136208854,0.9529693104822639,0.9793159942658202,0.9659630340369659,0.9914809183219393
Weighted Soft Voting Ensemble,0.9881952326901249,0.988950276243094,0.989760393200901,0.9893551688843398,0.999018124182259
